,L1_DAC,L1_DLAC,L1_HAC,L1_NGC-DA,L1_NGC-SA,L1_SLAC,L23_BP,L23_BTC,L23_ChC,L23_DBC,L23_LBC,L23_MC,L23_NBC,L23_NGC,L23_PC,L23_SBC,L4_BP,L4_BTC,L4_ChC,L4_DBC,L4_LBC,L4_MC,L4_NBC,L4_NGC,L4_PC,L4_SBC,L4_SP,L4_SS,L5_BP,L5_BTC,L5_ChC,L5_DBC,L5_LBC,L5_MC,L5_NBC,L5_NGC,L5_SBC,L5_STPC,L5_TTPC1,L5_TTPC2,L5_UTPC,L6_BP,L6_BPC,L6_BTC,L6_ChC,L6_DBC,L6_IPC,L6_LBC,L6_MC,L6_NBC,L6_NGC,L6_SBC,L6_TPC_L1,L6_TPC_L4,L6_UTPC,
L1_DAC,449,85,601,343,367,164,3,525,204,84,1228,2416,671,70,32742,521,0,4,0,3,25,43,25,0,5203,13,694,210,0,0,0,13,19,18,11,0,0,1053,18735,18778,133,0,124,0,0,0,0,0,0,0,0,0,83,91,233, 
L1_DLAC,318,78,494,259,104,142,10,87,158,62,827,1324,458,41,19017,361,0,0,0,4,0,0,0,0,2300,0,197,0,0,9,0,0,0,0,0,0,0,729,11825,11029,14,0,0,0,0,0,0,0,0,0,0,0,0,0,56, 
L1_HAC,1470,694,1945,1077,1127,676,6,675,557,198,1767,3921,936,73,69750,581,0,0,0,23,0,0,0,0,6655,0,598,0,0,0,0,11,0,0,0,0,0,2379,46113,45738,26,0,0,0,0,0,0,0,0,0,0,0,0,0,206, 
L1_NGC-DA,866,334,1200,491,534,566,0,591,414,208,1900,3528,1359,84,53729,677,0,0,0,4,0,0,0,0,6381,14,493,0,0,0,0,18,0,0,0,0,0,1543,31394,31471,69,0,0,0,0,0,0,0,0,0,0,0,0,0,146, 
L1_NGC-SA,444,43,593,248,179,159,5,214,148,69,575,1148,334,20,17819,331,0,0,0,4,0,0,0,0,1882,4,206,0,0,0,0,3,0,0,0,0,0,490,12079,11127,13,0,0,0,0,0,0,0,0,0,0,0,0,0,57, 
L1_SLAC,190,21,272,153,157,32,0,155,83,60,752,1192,288,67,13245,223,0,0,0,2,0,0,0,0,1743,0,172,0,0,0,0,0,0,0,0,0,0,344,7075,6074,9,0,0,0,0,0,0,0,0,0,0,0,0,0,47, 
L23_BP,0,0,0,0,0,0,0,28,0,0,39,59,56,0,853,15,4,9,10,20,104,76,0,0,1502,22,479,311,0,8,13,0,89,102,70,0,6,149,1704,1423,237,0,226,0,0,0,13,0,3,0,0,0,282,180,116, 
L23_BTC,364,129,242,195,88,154,30,1604,1046,576,7810,5489,5167,350,95352,1948,0,143,53,99,911,1174,921,17,37503,396,11550,4569,18,255,0,173,498,803,299,10,33,4751,50808,48172,2909,2,3237,32,0,0,474,127,97,46,0,10,3725,3245,4958, 
L23_ChC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4010,0,0,0,0,0,0,0,0,0,677,0,357,285,0,0,0,0,0,0,0,0,0,2,134,78,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0, 
L23_DBC,218,52,100,82,28,84,38,1344,660,430,6467,4463,4252,264,84780,2110,7,416,93,173,1863,1939,1440,41,54575,765,20399,7769,42,539,141,323,1562,2072,1022,11,137,7690,70216,65027,6761,12,9440,35,5,22,1369,285,147,139,0,34,8022,6928,9880, 
L23_LBC,1449,359,1074,625,579,652,102,3845,2392,1525,18654,18113,13529,965,265786,6319,0,229,160,196,1581,1944,1378,7,81209,704,21800,6449,0,429,61,187,871,1076,567,0,42,10042,127937,121559,5627,0,4152,0,0,6,296,55,24,32,0,0,5588,4577,7693, 
L23_MC,3374,1138,3326,2026,1494,1358,94,5672,3188,1865,23169,28439,15673,1511,388553,8444,0,156,56,130,979,1175,796,12,83812,590,16467,4577,0,383,32,213,854,1001,445,0,77,13133,196139,190603,4778,0,3706,12,0,1,139,47,26,21,0,21,3821,3561,6932, 
L23_NBC,1131,273,838,528,459,540,66,3936,1957,1494,17755,17129,11274,1250,229059,5182,0,198,64,127,930,1115,818,24,59367,401,15391,4469,0,119,0,111,287,216,168,0,15,6804,97252,88664,3446,0,1334,0,0,0,0,10,0,0,0,0,3084,2283,4667, 
L23_NGC,105,10,78,27,72,101,7,497,276,131,3314,2504,2149,137,38582,1301,0,11,18,5,38,98,49,0,8735,116,1660,387,0,9,0,37,12,16,6,0,9,908,13775,13067,346,0,143,0,0,0,0,0,0,0,0,0,325,206,604, 
L23_PC,2232,650,1316,822,687,1018,422,20152,9935,7150,92912,66442,53080,5168,1039104,25304,0,3945,1656,2952,25473,29471,22559,602,723979,10079,250794,92227,552,11521,1898,4235,28842,45123,20884,142,2388,110996,1076181,1003704,97653,0,188541,991,217,240,40998,8752,5136,3065,0,1152,131472,125669,171562, 
L23_SBC,555,131,544,286,239,305,66,2659,1363,954,10410,10997,7786,665,154817,3480,0,71,27,135,456,547,366,0,34214,255,7117,2184,11,155,6,81,249,280,114,0,27,4897,65674,60926,2005,0,1164,0,0,0,41,32,7,0,0,4,1556,1432,3098, 
L4_BP,4,4,0,0,0,0,5,28,7,6,80,87,95,4,1746,33,0,0,0,4,42,39,14,0,1312,19,315,207,0,38,0,0,32,10,0,0,0,105,1169,1185,79,0,119,0,0,0,20,4,0,0,0,0,164,170,201, 
